,liste,nomNuance,nuance,annee,election,tour,region,departement,canton,inscrits,votants,exprimes,voix,clef,code_canton,voixPourcent,participationPourcent,blancsNulsPourcent,Couleur,codeCouleur
4739,Mme BEYSSEN Françoise et M. SULTANA Yves,Divers,BC-DIV,2015,Départementales,1,75,33,22,30641,15689,14969,1205,Départementales12015,33022,8.05,51.2,2.35,Gris,#E0E0E0
4740,Mme BIGUET Colette et M. SIBUET Roger,Divers,BC-DIV,2015,Départementales,1,84,73,16,17312,9130,8820,363,Départementales12015,73016,4.12,52.74,1.79,Gris,#E0E0E0
4741,Mme BILLARD Geneviève et M. LAURENT David,Divers,BC-DIV,2015,Départementales,1,11,94,01,23646,10670,10226,368,Départementales12015,94001,3.6,45.12,1.88,Gris,#E0E0E0
4742,Mme BLANCHARD Aline et M. MATHIEU Sébastien,Divers,BC-DIV,2015,Départementales,1,93,05,07,7454,3829,3593,456,Départementales12015,05007,12.69,51.37,3.17,Gris,#E0E0E0
4743,Mme BLANCHARD Elise et M. COTREL François,Divers,BC-DIV,2015,Départementales,1,52,49,14,24094,12635,11987,976,Départementales12015,49014,8.14,52.44,2.69,Gris,#E0E0E0
4744,Mme BLANDINA Nathalie et M. DE FARIA Jean-Pierre,Divers,BC-DIV,2015,Départementales,1,76,30,18,24722,13956,13247,3617,Départementales12015,30018,27.3,56.45,2.87,Gris,#E0E0E0
4745,Mme BONNEFOY Laura et M. PERAZIO Bernard,Divers,BC-DIV,2015,Départementales,1,84,38,23,29807,16019,15391,5214,Départementales12015,38023,33.88,53.74,2.11,Gris,#E0E0E0
4746,Mme BONNEFOY Laura et M. PERAZIO Bernard,Divers,BC-DIV,2015,Départementales,2,84,38,23,29840,16788,16140,6906,Départementales22015,38023,42.79,56.26,2.17,Gris,#E0E0E0
4747,Mme BOULANGER Martine et M. DURET Gwenvaël,Divers,BC-DIV,2015,Départementales,1,52,44,05,37862,19643,18886,399,Départementales12015,44005,2.11,51.88,2.0,Gris,#E0E0E0
4748,Mme BOUSLAH Laetitia et M. GARCIA-MATEO Lucas,Divers,BC-DIV,2015,Départementales,1,93,13,26,50887,27583,26582,250,Départementales12015,13026,0.94,54.2,1.97,Gris,#E0E0E0
4749,Mme BOUTINOT Aïcha et M. GUENIN Alain,Divers,BC-DIV,2015,Départementales,1,93,84,11,25036,12417,11716,795,Départementales12015,84011,6.79,49.6,2.8,Gris,#E0E0E0
4750,Mme BRAS Mona et M. JAHAN Serge,Divers,BC-DIV,2015,Départementales,1,53,22,05,18561,10077,9470,475,Départementales12015,22005,5.02,54.29,3.27,Gris,#E0E0E0
4751,Mme BRAULT Sophie et M. CHAPPAT Michel,Divers,BC-DIV,2015,Départementales,1,11,78,09,54162,26112,25301,2680,Départementales12015,78009,10.59,48.21,1.5,Gris,#E0E0E0
4752,Mme BRICARD Nathalie et M. DELBREL Christian,Divers,BC-DIV,2015,Départementales,1,75,47,01,11440,6547,6317,1788,Départementales12015,47001,28.3,57.23,2.01,Gris,#E0E0E0
4753,Mme BRICARD Nathalie et M. DELBREL Christian,Divers,BC-DIV,2015,Départementales,2,75,47,01,11439,6465,5727,3379,Départementales22015,47001,59.0,56.52,6.45,Gris,#E0E0E0
4754,Mme BRUDER Véronique et M. HERVE Yannick,Divers,BC-DIV,2015,Départementales,1,44,67,04,36057,17609,16824,261,Départementales12015,67004,1.55,48.84,2.18,Gris,#E0E0E0
4755,Mme CABECAS ROQUIER Valérie et M. RODDE Charles,Divers,BC-DIV,2015,Départementales,1,84,15,10,7432,4100,3815,1658,Départementales12015,15010,43.46,55.17,3.83,Gris,#E0E0E0
4756,Mme CABECAS ROQUIER Valérie et M. RODDE Charles,Divers,BC-DIV,2015,Départementales,2,84,15,10,7431,4309,4072,2101,Départementales22015,15010,51.6,57.99,3.19,Gris,#E0E0E0
4757,Mme CALICAT RYFER Agathe et M. DORLIN Jean-Luc,Divers,BC-DIV,2015,Départementales,1,01,971,11,17416,6879,6194,365,Départementales12015,97111,5.89,39.5,3.93,Gris,#E0E0E0
4758,Mme CALMET Isabelle et M. PUECH Gérard,Divers,BC-DIV,2015,Départementales,1,76,81,13,13576,8659,7891,2563,Départementales12015,81013,32.48,63.78,5.66,Gris,#E0E0E0
4759,Mme CALMET Isabelle et M. PUECH Gérard,Divers,BC-DIV,2015,Départementales,2,76,81,13,13576,8794,8310,2724,Départementales22015,81013,32.78,64.78,3.57,Gris,#E0E0E0
4760,Mme CARRON Jeannine et M. TIPARIS Alain,Divers,BC-DIV,2015,Départementales,1,04,974,11,25902,10179,8897,656,Départementales12015,97411,7.37,39.3,4.95,Gris,#E0E0E0
4761,Mme CARY Monique et M. MIRANDOLA Claude,Divers,BC-DIV,2015,Départementales,1,76,46,15,8949,5202,4706,347,Départementales12015,46015,7.37,58.13,5.54,Gris,#E0E0E0
4762,Mme CESARI Maria-Dumenica et M. TOMASI Petr'Antone,Divers,BC-DIV,2015,Départementales,1,94,2B,11,5653,2846,2484,562,Départementales12015,2B011,22.62,50.34,6.4,Gris,#E0E0E0
4763,Mme CHALE TERRATS Angeline et M. RIVIERE Julien,Divers,BC-DIV,2015,Départementales,1,11,78,02,42488,21147,20324,1868,Départementales12015,78002,9.19,49.77,1.94,Gris,#E0E0E0
4764,Mme CHARRIAUD Céline et M. MONLOUBOU Jean-Jacques,Divers,BC-DIV,2015,Départementales,1,84,15,09,7301,4322,3935,2200,Départementales12015,15009,55.91,59.2,5.3,Gris,#E0E0E0
4765,Mme CHAYET Isabelle et M. DETTORI André,Divers,BC-DIV,2015,Départementales,1,93,06,20,29098,13532,13142,112,Départementales12015,06020,0.85,46.5,1.34,Gris,#E0E0E0
4766,Mme CHEVILLARD Françoise et M. DUPAIGNE Jean-Luc,Divers,BC-DIV,2015,Départementales,1,84,26,04,11577,6857,6593,323,Départementales12015,26004,4.9,59.23,2.28,Gris,#E0E0E0
4767,Mme CHEVREL Laurence et M. SYZ Yann,Divers,BC-DIV,2015,Départementales,1,53,56,09,20084,10216,9801,253,Départementales12015,56009,2.58,50.87,2.07,Gris,#E0E0E0
4768,Mme CHUPEAU Marie-Gabrielle et M. GERVAIS Roger,Divers,BC-DIV,2015,Départementales,1,75,17,06,17608,8492,7929,2015,Départementales12015,17006,25.41,48.23,3.2,Gris,#E0E0E0
4769,Mme CHUPEAU Marie-Gabrielle et M. GERVAIS Roger,Divers,BC-DIV,2015,Départementales,2,75,17,06,17613,7853,6927,2910,Départementales22015,17006,42.01,44.59,5.26,Gris,#E0E0E0
4770,Mme COLLIN Gwaënaelle et M. DOMER Térence,Divers,BC-DIV,2015,Départementales,1,28,14,07,12938,6515,6323,88,Départementales12015,14007,1.39,50.36,1.48,Gris,#E0E0E0
4771,Mme CONESA-MOZIN Magali et M. LACHENMAIER Fabrice,Divers,BC-DIV,2015,Départementales,1,93,06,11,31559,15508,14943,2766,Départementales12015,06011,18.51,49.14,1.79,Gris,#E0E0E0
4772,Mme COQUIL Véronique et M. MADEC Jacques,Divers,BC-DIV,2015,Départementales,1,53,56,01,23714,12583,12132,658,Départementales12015,56001,5.42,53.06,1.9,Gris,#E0E0E0
4773,Mme CORIS Joëlle et M. LE GWENN Hervé,Divers,BC-DIV,2015,Départementales,1,53,56,09,20084,10216,9801,207,Départementales12015,56009,2.11,50.87,2.07,Gris,#E0E0E0
4774,Mme COULOMBE Arlette et M. COULOMBE Jean-Pierre,Divers,BC-DIV,2015,Départementales,1,11,78,08,43241,17742,16811,86,Départementales12015,78008,0.51,41.03,2.15,Gris,#E0E0E0
4775,Mme CRESCENCE Daniella et M. DRULÉ Thierry,Divers,BC-DIV,2015,Départementales,1,04,974,18,25746,11407,9971,508,Départementales12015,97418,5.09,44.31,5.58,Gris,#E0E0E0
4776,Mme D'APOTE Lucia et M. SCHWEITZER Pierre,Divers,BC-DIV,2015,Départementales,1,44,67,20,26141,12361,11980,1215,Départementales12015,67020,10.14,47.29,1.46,Gris,#E0E0E0
4777,Mme DACAL Hélène et M. LUSSERT Jean-Marc,Divers,BC-DIV,2015,Départementales,1,76,34,23,33705,18822,18161,1221,Départementales12015,34023,6.72,55.84,1.96,Gris,#E0E0E0
4778,Mme DAGUERRE Régine et M. ISTEQUE Serge,Divers,BC-DIV,2015,Départementales,1,75,64,07,22671,10048,9727,690,Départementales12015,64007,7.09,44.32,1.42,Gris,#E0E0E0
4779,Mme DAREAU Martine et M. EVENAT Dominique,Divers,BC-DIV,2015,Départementales,1,53,29,10,29905,15183,14703,403,Départementales12015,29010,2.74,50.77,1.61,Gris,#E0E0E0
4780,Mme DARROZES Dominique et M. PIQUES Jérôme,Divers,BC-DIV,2015,Départementales,1,76,32,17,8681,5441,5077,184,Départementales12015,32017,3.62,62.68,4.19,Gris,#E0E0E0
4781,Mme DAUGE Claire et M. VIVIER Jean-Loup,Divers,BC-DIV,2015,Départementales,1,76,32,06,8040,4009,3626,206,Départementales12015,32006,5.68,49.86,4.76,Gris,#E0E0E0
4782,Mme DAVID Bénédicte et M. EDINVAL Gilbert,Divers,BC-DIV,2015,Départementales,1,01,971,04,13590,5416,4614,73,Départementales12015,97104,1.58,39.85,5.9,Gris,#E0E0E0
4783,Mme DE ANTONI Florence et M. LABORDE Christian,Divers,BC-DIV,2015,Départementales,1,76,65,09,10168,6059,5769,378,Départementales12015,65009,6.55,59.59,2.85,Gris,#E0E0E0
4784,Mme DE PIERREPONT Anne et M. SAUNIER François,Divers,BC-DIV,2015,Départementales,1,53,56,08,19469,9549,9116,553,Départementales12015,56008,6.07,49.05,2.22,Gris,#E0E0E0
4785,Mme DE RUBEIS Geneviève et M. POTRON Pierre,Divers,BC-DIV,2015,Départementales,1,44,08,19,9820,5506,5274,612,Départementales12015,08019,11.6,56.07,2.36,Gris,#E0E0E0
4786,Mme DEMOIS-LACOSTE Caroline et M. SALESSE Vincent,Divers,BC-DIV,2015,Départementales,1,84,63,03,14477,7488,7135,954,Départementales12015,63003,13.37,51.72,2.44,Gris,#E0E0E0
4787,Mme DEMOUSSEAU Josiane et M. MAGNIN Bernard,Divers,BC-DIV,2015,Départementales,1,75,87,04,12473,7105,6542,1260,Départementales12015,87004,19.26,56.96,4.51,Gris,#E0E0E0
4788,Mme DESBLANCS Lucie et M. PEROTTINO Serge,Divers,BC-DIV,2015,Départementales,1,93,13,03,55430,29720,28219,3636,Départementales12015,13003,12.88,53.62,2.71,Gris,#E0E0E0
4789,Mme DIEMUNSCH Sandrine et M. LOEWERT Daniel,Divers,BC-DIV,2015,Départementales,1,44,68,06,34160,18092,17223,2899,Départementales12015,68006,16.83,52.96,2.54,Gris,#E0E0E0
4790,Mme DONNARD Marie et M. KERNALEGUEN Daniel,Divers,BC-DIV,2015,Départementales,1,53,29,06,20113,10833,10268,1398,Départementales12015,29006,13.62,53.86,2.81,Gris,#E0E0E0
4791,Mme DUGUET Dominique et M. OLAIZOLA Jean-Marc,Divers,BC-DIV,2015,Départementales,1,75,64,24,22675,11283,10880,584,Départementales12015,64024,5.37,49.76,1.78,Gris,#E0E0E0
4792,Mme DUMESNIL Sonia et M. LANDON Samuel,Divers,BC-DIV,2015,Départementales,1,28,14,08,13942,6657,6432,243,Départementales12015,14008,3.78,47.75,1.61,Gris,#E0E0E0
4793,Mme ELHORGA-DARGAINS Gaxuxa et M. ETCHEVERRY Jean Pierre,Divers,BC-DIV,2015,Départementales,1,75,64,24,22675,11283,10880,463,Départementales12015,64024,4.26,49.76,1.78,Gris,#E0E0E0
4794,Mme EYSSALET Nadine et M. JAMET Thierry,Divers,BC-DIV,2015,Départementales,1,52,44,20,30088,16082,15331,787,Départementales12015,44020,5.13,53.45,2.5,Gris,#E0E0E0
4795,Mme FARGEOT Charlotte et M. MORENO Miguel,Divers,BC-DIV,2015,Départementales,1,75,33,22,30641,15689,14969,187,Départementales12015,33022,1.25,51.2,2.35,Gris,#E0E0E0
4796,Mme FISCHER Angélique et M. SCHERTZ Christophe,Divers,BC-DIV,2015,Départementales,1,44,67,13,38216,19075,18140,1906,Départementales12015,67013,10.51,49.91,2.45,Gris,#E0E0E0
4797,Mme FRATACCI POGGI Elisabeth et M. PIERI Pierre,Divers,BC-DIV,2015,Départementales,1,94,2B,04,8312,4247,4082,745,Départementales12015,2B004,18.25,51.09,1.99,Gris,#E0E0E0
4798,Mme FRATACCI POGGI Elisabeth et M. PIERI Pierre,Divers,BC-DIV,2015,Départementales,2,94,2B,04,8312,4114,3765,1282,Départementales22015,2B004,34.05,49.49,4.2,Gris,#E0E0E0
4799,Mme FREITAG Claire et M. MUMBACH Paul,Divers,BC-DIV,2015,Départementales,1,44,68,09,29280,15007,14092,2479,Départementales12015,68009,17.59,51.25,3.12,Gris,#E0E0E0
4800,Mme FROSSARD Monik et M. MELIANI Bachar,Divers,BC-DIV,2015,Départementales,1,84,26,15,21320,10899,10536,238,Départementales12015,26015,2.26,51.12,1.7,Gris,#E0E0E0
4801,Mme GARCIA-VIDAL Madeleine et M. PUIG Joseph,Divers,BC-DIV,2015,Départementales,1,76,66,04,26943,15708,15044,4506,Départementales12015,66004,29.95,58.3,2.46,Gris,#E0E0E0
4802,Mme GARCIA-VIDAL Madeleine et M. PUIG Joseph,Divers,BC-DIV,2015,Départementales,2,76,66,04,26943,17081,16355,5771,Départementales22015,66004,35.29,63.4,2.69,Gris,#E0E0E0
4803,Mme GAUCHER Elisabeth et M. SPINNER Alexandre,Divers,BC-DIV,2015,Départementales,1,44,67,07,32508,14964,14544,1522,Départementales12015,67007,10.46,46.03,1.29,Gris,#E0E0E0
4804,Mme GAURAZ Magali et M. MONJAUZE Alexis,Divers,BC-DIV,2015,Départementales,1,84,43,13,9501,4877,4623,219,Départementales12015,43013,4.74,51.33,2.67,Gris,#E0E0E0
4805,Mme GERBER Gabrielle et M. TROUILLET Jean-Georges,Divers,BC-DIV,2015,Départementales,1,44,68,16,39104,20133,18932,3133,Départementales12015,68016,16.55,51.49,3.07,Gris,#E0E0E0
4806,Mme GERONIMI Josepha et M. SARGENTINI François,Divers,BC-DIV,2015,Départementales,1,94,2B,14,10682,7270,7071,584,Départementales12015,2B014,8.26,68.06,1.86,Gris,#E0E0E0
4807,Mme GIRAULT Françoise et M. ROMILLAT Philippe,Divers,BC-DIV,2015,Départementales,1,52,44,02,39649,19951,19076,705,Départementales12015,44002,3.7,50.32,2.21,Gris,#E0E0E0
4808,Mme GRONDIN Tatiana et M. SAUTRON Désiré,Divers,BC-DIV,2015,Départementales,1,04,974,12,23684,9532,8505,561,Départementales12015,97412,6.6,40.25,4.34,Gris,#E0E0E0
4809,Mme GUENOT Claire et M. MORINI Gilles,Divers,BC-DIV,2015,Départementales,1,27,58,07,9429,4447,4196,627,Départementales12015,58007,14.94,47.16,2.66,Gris,#E0E0E0
4810,Mme GUYOMARCH Maïwenn et M. QUÉMÉNEUR Yann,Divers,BC-DIV,2015,Départementales,1,52,44,22,24787,11728,11205,370,Départementales12015,44022,3.3,47.32,2.11,Gris,#E0E0E0
4811,Mme GUYON Marjorie et M. SOLVET Patrick,Divers,BC-DIV,2015,Départementales,1,01,971,17,16427,6664,6017,535,Départementales12015,97117,8.89,40.57,3.94,Gris,#E0E0E0
4812,Mme HADBI Malika et M. ZEGHOUDI Omar,Divers,BC-DIV,2015,Départementales,1,11,77,11,34971,14935,14347,393,Départementales12015,77011,2.74,42.71,1.68,Gris,#E0E0E0
4813,Mme HARAN-LARRE Maïté et M. LABORDE Battit,Divers,BC-DIV,2015,Départementales,1,75,64,26,23122,11956,11315,1668,Départementales12015,64026,14.74,51.71,2.77,Gris,#E0E0E0
4814,Mme HASSENFORDER Viviane et M. PERICOU Peio,Divers,BC-DIV,2015,Départementales,1,75,64,01,16680,8076,7758,610,Départementales12015,64001,7.86,48.42,1.91,Gris,#E0E0E0
4815,Mme HAYANO Alicia et M. VITAL Jean-Louis,Divers,BC-DIV,2015,Départementales,1,04,974,08,22444,10210,9251,511,Départementales12015,97408,5.52,45.49,4.27,Gris,#E0E0E0
4816,Mme HENRY Jacqueline et M. POIRE Giovanny,Divers,BC-DIV,2015,Départementales,1,04,974,19,26703,11252,9862,1911,Départementales12015,97419,19.38,42.14,5.21,Gris,#E0E0E0
4817,Mme HENRY Jacqueline et M. POIRE Giovanny,Divers,BC-DIV,2015,Départementales,2,04,974,19,26703,12779,10777,5993,Départementales22015,97419,55.61,47.86,7.5,Gris,#E0E0E0
4818,Mme HERMIER Muriel et M. TARTANSON Paul-Henri,Divers,BC-DIV,2015,Départementales,1,93,84,10,25885,14454,13898,174,Départementales12015,84010,1.25,55.84,2.15,Gris,#E0E0E0
4819,Mme HERON Anaïs et M. MOREL Jean-Yves,Divers,BC-DIV,2015,Départementales,1,04,974,03,21277,7530,6752,972,Départementales12015,97403,14.4,35.39,3.66,Gris,#E0E0E0
4820,Mme HERON Jocelyne et M. SAVAN Fauvert,Divers,BC-DIV,2015,Départementales,1,01,971,19,12253,5278,4797,1400,Départementales12015,97119,29.18,43.08,3.93,Gris,#E0E0E0
4821,Mme HERON Jocelyne et M. SAVAN Fauvert,Divers,BC-DIV,2015,Départementales,2,01,971,19,12253,6379,5945,2919,Départementales22015,97119,49.1,52.06,3.54,Gris,#E0E0E0
4822,Mme HINCKER Sylvie et M. UNDREINER Nicolas,Divers,BC-DIV,2015,Départementales,1,44,67,05,34054,15997,15320,2070,Départementales12015,67005,13.51,46.98,1.99,Gris,#E0E0E0
4823,Mme ISILDAK Sirin et M. MADI Hakim,Divers,BC-DIV,2015,Départementales,1,84,26,16,21037,10675,10257,472,Départementales12015,26016,4.6,50.74,1.99,Gris,#E0E0E0
4824,Mme JASNIAK-LASKAR Muriel et M. PASQUET Philippe,Divers,BC-DIV,2015,Départementales,1,75,87,13,8901,4730,4518,214,Départementales12015,87013,4.74,53.14,2.38,Gris,#E0E0E0
4825,Mme JOUBERT Camille et M. MONTVOISIN Thierry,Divers,BC-DIV,2015,Départementales,1,76,32,08,7055,4544,4318,162,Départementales12015,32008,3.75,64.41,3.2,Gris,#E0E0E0
4826,Mme JOURDAIN Muriel et M. PEYTHIEU Eric,Divers,BC-DIV,2015,Départementales,1,93,05,03,7735,3874,3510,722,Départementales12015,05003,20.57,50.08,4.71,Gris,#E0E0E0
4827,Mme JOURDAS Marjorie et M. ROUANET William,Divers,BC-DIV,2015,Départementales,1,76,34,05,29510,16579,15826,471,Départementales12015,34005,2.98,56.18,2.55,Gris,#E0E0E0
4828,Mme KAHRIMAN Fatma et M. YAMAKOGLU Mehmet,Divers,BC-DIV,2015,Départementales,1,27,25,04,16750,7192,6831,105,Départementales12015,25004,1.54,42.94,2.16,Gris,#E0E0E0
4829,Mme KARCHER Nadège et M. MEYER Martin,Divers,BC-DIV,2015,Départementales,1,44,67,12,31214,15413,14547,2729,Départementales12015,67012,18.76,49.38,2.77,Gris,#E0E0E0
4830,Mme KARMANN Stéphanie et M. MALHERBE Quentin,Divers,BC-DIV,2015,Départementales,1,44,67,18,20807,8517,8273,458,Départementales12015,67018,5.54,40.93,1.17,Gris,#E0E0E0
4831,Mme KERVERN Anne-Marie et M. MEUDEC Yoann,Divers,BC-DIV,2015,Départementales,1,53,29,05,23401,10295,9739,235,Départementales12015,29005,2.41,43.99,2.38,Gris,#E0E0E0
4832,Mme KOESSLER Véronique et M. LEBER Jean-Luc,Divers,BC-DIV,2015,Départementales,1,44,67,03,41481,19765,18955,2506,Départementales12015,67003,13.22,47.65,1.95,Gris,#E0E0E0
4833,Mme LATRA Lolita et M. NAGES Jean-Max,Divers,BC-DIV,2015,Départementales,1,04,974,02,24472,10735,9797,313,Départementales12015,97402,3.19,43.87,3.83,Gris,#E0E0E0
4834,Mme LE BRIS Annick et M. SIMON Régis,Divers,BC-DIV,2015,Départementales,1,53,29,12,30155,15691,15121,550,Départementales12015,29012,3.64,52.03,1.89,Gris,#E0E0E0
4835,Mme LE MARECHAL Laure et M. MOLLO Renan,Divers,BC-DIV,2015,Départementales,1,53,56,06,31564,16115,15297,807,Départementales12015,56006,5.28,51.05,2.59,Gris,#E0E0E0
4836,Mme LEGARDINIER Claire et M. TELLIER Pantxo,Divers,BC-DIV,2015,Départementales,1,75,64,10,16569,8066,7734,1053,Départementales12015,64010,13.62,48.68,2.0,Gris,#E0E0E0
4837,Mme LEHOURS Catherine et M. VERMANDE François,Divers,BC-DIV,2015,Départementales,1,84,15,06,8800,5340,5023,1214,Départementales12015,15006,24.17,60.68,3.6,Gris,#E0E0E0
4838,Mme MACE Aurore et M. VALLART Jonathan,Divers,BC-DIV,2015,Départementales,1,27,90,08,12302,6862,6430,207,Départementales12015,90008,3.22,55.78,3.51,Gris,#E0E0E0
4839,Mme MADI RAMA Sophie et M. VELOU Madi Moussa,Divers,BC-DIV,2015,Départementales,1,06,976,03,5881,3717,3603,944,Départementales12015,97603,26.2,63.2,1.94,Gris,#E0E0E0
4840,Mme MADI RAMA Sophie et M. VELOU Madi Moussa,Divers,BC-DIV,2015,Départementales,2,06,976,03,5889,3898,3770,1759,Départementales22015,97603,46.66,66.19,2.17,Gris,#E0E0E0
4841,Mme MADI-MARI Assimini et M. SAID ADINANI Charif,Divers,BC-DIV,2015,Départementales,1,06,976,13,7336,4917,4802,208,Départementales12015,97613,4.33,67.03,1.57,Gris,#E0E0E0
4842,Mme MAESTRACCI Michèle et M. POLI Maxime,Divers,BC-DIV,2015,Départementales,1,94,2B,01,6350,3245,3061,201,Départementales12015,2B001,6.57,51.1,2.9,Gris,#E0E0E0
4843,Mme MAILLE Thérèse et M. PIERRE Dominique,Divers,BC-DIV,2015,Départementales,1,75,33,32,30374,15119,14512,699,Départementales12015,33032,4.82,49.78,2.0,Gris,#E0E0E0
4844,Mme MAITRE Christiane et M. ZIEGLER Jean-Philippe,Divers,BC-DIV,2015,Départementales,1,44,67,23,36437,18413,17454,3447,Départementales12015,67023,19.75,50.53,2.63,Gris,#E0E0E0
4845,Mme MANI Iymen et M. VIRION Alain Bernard,Divers,BC-DIV,2015,Départementales,1,11,93,15,32699,12981,12511,473,Départementales12015,93015,3.78,39.7,1.44,Gris,#E0E0E0
4846,Mme MARA Pascaline et M. SARPEDON Jean-François,Divers,BC-DIV,2015,Départementales,1,04,974,21,29763,12427,10376,504,Départementales12015,97421,4.86,41.75,6.89,Gris,#E0E0E0
4847,Mme MARCHAL Aurélie et M. WENTZEL David,Divers,BC-DIV,2015,Départementales,1,44,88,13,18336,8625,8223,168,Départementales12015,88013,2.04,47.04,2.19,Gris,#E0E0E0
4848,Mme MARIE Marie-Odile et M. QUESNOT Olivier,Divers,BC-DIV,2015,Départementales,1,28,14,03,19836,10654,10070,1264,Départementales12015,14003,12.55,53.71,2.94,Gris,#E0E0E0
4849,Mme MARTIN-SPRIET Marinette et M. PREVOT Alain,Divers,BC-DIV,2015,Départementales,1,75,87,03,13592,8132,7662,920,Départementales12015,87003,12.01,59.83,3.46,Gris,#E0E0E0
4850,Mme MEDJBAR Houria et M. PEREZ Bruno,Divers,BC-DIV,2015,Départementales,1,93,13,12,38606,17449,16887,0,Départementales12015,13012,0.0,45.2,1.46,Gris,#E0E0E0
4851,Mme MONTES Isabelle et M. ROUQUETTE Serge,Divers,BC-DIV,2015,Départementales,1,76,81,06,14462,8891,8379,1114,Départementales12015,81006,13.3,61.48,3.54,Gris,#E0E0E0
4852,Mme MORANT Marie et M. PARADIS Jimmy,Divers,BC-DIV,2015,Départementales,1,76,66,06,15750,7446,7087,142,Départementales12015,66006,2.0,47.28,2.28,Gris,#E0E0E0
4853,Mme MORGEN Corinne et M. UHLRICH Jean-Georges,Divers,BC-DIV,2015,Départementales,1,44,68,09,29280,15007,14092,1751,Départementales12015,68009,12.43,51.25,3.12,Gris,#E0E0E0
4854,Mme NAVISSEAU Renelle et M. PERELLO Jordan Geoffrey,Divers,BC-DIV,2015,Départementales,1,76,11,13,14523,7347,6987,177,Départementales12015,11013,2.53,50.59,2.48,Gris,#E0E0E0
4855,Mme NICKEL Laetitia et M. VERNEYRE David,Divers,BC-DIV,2015,Départementales,1,84,63,11,12579,5261,4971,269,Départementales12015,63011,5.41,41.82,2.31,Gris,#E0E0E0
4856,Mme NICOLE Corinne et M. TROADEC Christian,Divers,BC-DIV,2015,Départementales,1,53,29,07,21080,11422,10941,3891,Départementales12015,29007,35.56,54.18,2.28,Gris,#E0E0E0
4857,Mme NICOLE Corinne et M. TROADEC Christian,Divers,BC-DIV,2015,Départementales,2,53,29,07,21074,10637,9486,6328,Départementales22015,29007,66.71,50.47,5.46,Gris,#E0E0E0
4858,Mme NOGUES Nelly et M. ROSÉ Gérard,Divers,BC-DIV,2015,Départementales,1,28,61,21,8246,4683,4519,886,Départementales12015,61021,19.61,56.79,1.99,Gris,#E0E0E0
4859,Mme NOMAL Hafize et M. YUCEL Abdullah,Divers,BC-DIV,2015,Départementales,1,27,25,16,18352,8883,8460,122,Départementales12015,25016,1.44,48.4,2.3,Gris,#E0E0E0
4860,Mme PASSELEGUE Emeline et M. SOUFI Amine,Divers,BC-DIV,2015,Départementales,1,44,67,19,23004,8057,7785,400,Départementales12015,67019,5.14,35.02,1.18,Gris,#E0E0E0
4861,Mme PAYET Christine et M. RIANI Richard,Divers,BC-DIV,2015,Départementales,1,04,974,21,29763,12427,10376,308,Départementales12015,97421,2.97,41.75,6.89,Gris,#E0E0E0
4862,Mme PLAISANT-HERMANNS Jeanine et M. SEILLER Benoît,Divers,BC-DIV,2015,Départementales,1,44,67,10,42337,21724,20753,2551,Départementales12015,67010,12.29,51.31,2.29,Gris,#E0E0E0
4863,Mme RIOU Patricia et M. VALY Jean-Jacques,Divers,BC-DIV,2015,Départementales,1,53,56,07,22011,10850,10414,446,Départementales12015,56007,4.28,49.29,1.98,Gris,#E0E0E0
4864,Mme ROUBIN Jacqueline et M. VALEYRE Yvon,Divers,BC-DIV,2015,Départementales,1,84,43,01,10528,5350,4920,699,Départementales12015,43001,14.21,50.82,4.08,Gris,#E0E0E0
4865,Mme ROUGE DIT GAILLARD Ghislaine et M. WURCH Dominique,Divers,BC-DIV,2015,Départementales,1,44,68,17,32820,14986,14409,2123,Départementales12015,68017,14.73,45.66,1.76,Gris,#E0E0E0
4866,Mme SADESKI Isabelle et M. SCHOLER Noël,Divers,BC-DIV,2015,Départementales,1,84,38,04,34567,15209,14772,759,Départementales12015,38004,5.14,44.0,1.26,Gris,#E0E0E0
4867,Mme SEBIRE Armelle et M. SELLIER Jean,Divers,BC-DIV,2015,Départementales,1,28,61,01,8471,4404,4207,830,Départementales12015,61001,19.73,51.99,2.33,Gris,#E0E0E0
4868,Mme SEYMOUR Mélina et M. TACITA Jean-Marc,Divers,BC-DIV,2015,Départementales,1,01,971,11,17416,6879,6194,376,Départementales12015,97111,6.07,39.5,3.93,Gris,#E0E0E0
4869,Mme SIMEONI Marie et M. VILLANOVA Jean-Charles,Divers,BC-DIV,2015,Départementales,1,94,2B,07,9082,5526,5368,806,Départementales12015,2B007,15.01,60.85,1.74,Gris,#E0E0E0
4870,Mme SOL CAUBEL Isabelle et M. YVON Dominique,Divers,BC-DIV,2015,Départementales,1,53,56,09,20084,10216,9801,1349,Départementales12015,56009,13.76,50.87,2.07,Gris,#E0E0E0
4871,Mme TEYSSIER Florence et M. TONSON Daniel,Divers,BC-DIV,2015,Départementales,1,84,43,01,10528,5350,4920,2181,Départementales12015,43001,44.33,50.82,4.08,Gris,#E0E0E0
4872,Mme TEYSSIER Florence et M. TONSON Daniel,Divers,BC-DIV,2015,Départementales,2,84,43,01,10527,5867,5477,3164,Départementales22015,43001,57.77,55.73,3.7,Gris,#E0E0E0
4873,M. ABDALLAH Bourhane et Mme GONFO Marie-Annick,Modem,BC-MDM,2015,Départementales,1,04,974,21,29763,12427,10376,936,Départementales12015,97421,9.02,41.75,6.89,Orange,#FF8948
